Caption,Tipo,Canais,Post time,Reach,Likes,Comments,Shares,Saves,Interações,Visitas ao perfil,Toques no site,botão de texto,Impressões,Na Pag Inicial,no perfil ,Hashtags,de Explorar,De Outra Pessoa,Seguidores
post217,Influencer,Foto,8/24/2021,12271,382,4,4,24,142,131,11,0,13827,8899,1821,0,1933,25,8
post218,Moda,Foto,8/24/2021,5661,131,6,1,17,49,47,2,0,6693,2674,2082,0,2082,16,8
post219,Institucional,Foto,8/25/2021,3090,19,4,0,1,8,8,0,0,4043,2254,1669,0,110,8,2
post220,Moda,Carrossel,8/25/2021,2776,63,4,2,6,21,19,2,0,4114,2267,1724,0,100,20,4
post221,Influencer,Reels,8/26/2021,5547,168,5,3,14,0,0,0,0,0,0,0,0,0,0,0
post222,Institucional,Foto,8/27/2021,14015,661,10,8,44,382,352,30,0,16086,11369,2091,2220,0,118,66
post223,Moda,Carrossel,8/27/2021,5480,187,12,6,31,53,48,5,0,7456,5095,2055,0,273,23,0
post224,Institucional,Foto,8/28/2021,5946,64,4,0,0,51,43,8,0,7155,4932,1887,0,248,2,0
post225,Institucional,Video,8/28/2021,3289,31,0,0,8,26,18,8,0,0,0,0,0,0,0,0
post226,Moda,Carrossel,8/29/2021,17042,527,10,12,79,179,159,20,0,2084,17548,2427,0,619,27,10
post227,AA,Foto,8/30/2021,13376,475,30,24,36,81,74,7,0,13945,10770,1568,1288,0,118,2
post228,Influencer,Carrossel,8/31/2021,3954,87,2,3,10,41,31,10,0,4486,2711,1115,0,646,11,0
post229,Institucional,Foto,8/31/2021,3672,32,5,0,5,35,30,5,0,3850,2704,997,0,69,38,0
post230,Influencer,Carrossel,9/1/2021,25155,983,24,8,69,287,243,44,0,29263,26004,905,0,2188,30,2
post231,Influencer,Carrossel,9/1/2021,3381,89,9,4,12,30,28,2,0,4054,2922,1044,0,54,31,2
post232,Moda,Carrossel,9/2/2021,8315,122,0,3,10,52,43,9,0,9247,8274,888,0,74,10,0
post233,Influencer,Video,9/2/2021,3450,89,4,0,7,49,43,6,0,3953,2610,937,0,306,12,0
post234,Marca,Foto,9/3/2021,9976,427,4,11,61,125,111,14,0,10207,8192,1130,738,0,19,6
post235,Influencer,Foto,9/3/2021,7131,154,4,2,11,56,48,8,0,7609,5842,1112,0,449,16,4
post236,Marca,Foto,9/4/2021,5538,107,0,0,11,51,43,8,0,5861,4080,809,0,910,13,2
post237,AA,carrossel,9/1/2021,25155,983,24,8,69,287,243,44,0,29263,26004,905,0,2188,30,2
post238,Foto de lookbook,carrossel,9/1/2021,3381,89,9,4,12,30,28,2,0,4054,2922,1044,0,54,31,2
post239,Foto de lookbook,carrossel,9/2/2021,8315,122,0,3,10,52,43,9,0,9247,8274,888,0,74,10,0
post240,Influencer,Video/Gif,9/2/2021,3450,89,4,0,7,49,43,6,0,3953,2610,937,0,306,12,0
post241,AA,foto,9/3/2021,9976,427,4,11,61,125,111,14,0,10207,8192,1130,738,0,19,6
post242,Influencer,foto,9/3/2021,7131,154,4,2,11,56,48,8,0,7609,5842,1112,0,449,16,4
post243,marca,foto,9/4/2021,5538,107,0,0,11,51,43,8,0,5861,4080,809,0,910,13,2
post244,Influencer,carrossel,9/5/2021,7276,231,9,0,14,86,74,12,0,8426,6819,1435,0,91,62,2
post245,Institucional,carrossel,9/6/2021,4324,37,2,1,6,41,34,7,0,5424,4111,1282,0,8,19,2
post246,Influencer,carrossel,9/6/2021,6722,85,5,0,5,68,56,12,0,7582,5584,1655,0,335,6,0
post247,Foto de lookbook,carrossel,9/7/2021,27510,1284,29,16,172,615,544,69,2,31660,29605,1445,307,0,49,14
post248,Foto de lookbook,carrossel,9/8/2021,5189,94,6,4,14,33,29,4,0,5999,4700,1097,0,189,11,4
post249,AA,foto,9/8/2021,11503,375,7,7,20,90,79,11,0,11600,9732,1070,665,0,10,6
post250,Foto de lookbook,carrossel,9/9/2021,13001,441,4,6,61,138,116,22,0,16113,14643,1097,0,304,11,8
post251,Influencer,carrossel,9/9/2021,6897,170,2,2,11,53,50,3,0,7710,4414,896,0,2386,9,4
post252,AA,carrossel,9/10/2021,11409,496,8,6,33,163,142,21,0,14485,13874,588,0,12,8,0
post253,Institucional,foto,9/10/2021,9853,84,2,1,3,289,245,44,0,10135,9295,606,128,0,7,0
post254,marca,foto,9/11/2021,6103,124,6,1,17,53,46,7,0,6195,4892,721,0,338,9,4
post255,Foto de lookbook,carrossel,9/12/2021,8307,240,6,6,22,107,92,15,0,9717,9156,514,0,31,12,0
post256,AA,foto,9/12/2021,34868,1688,26,23,75,478,433,45,0,36155,24665,0,10365,647,157,34
post257,Foto de lookbook,foto,9/13/2021,7048,197,12,0,15,81,74,7,0,7155,4869,1261,0,568,18,8
post258,Foto de lookbook,carrossel,9/14/2021,8955,272,14,3,29,52,49,3,0,10947,9924,951,0,39,15,0
post259,Influencer,carrossel,9/14/2021,8978,425,17,2,12,141,123,18,0,10478,9422,816,0,180,36,4
post260,Institucional,foto,9/15/2021,2285,23,4,0,1,10,8,2,0,2444,1543,814,0,62,0,0
post261,Influencer,carrossel,9/15/2021,4626,117,6,5,12,57,50,7,0,5699,4556,948,0,164,16,0
post262,Foto de lookbook,carrossel,9/16/2021,10958,359,4,7,46,164,131,33,0,14124,12884,826,0,390,16,6
post263,AA,foto,9/17/2021,4794,96,0,0,11,31,30,1,0,4940,4239,675,8,0,17,0
post264,marca,foto,9/17/2021,9285,201,6,0,9,67,57,10,0,9727,8307,628,589,0,7,2
post265,Influencer,foto,9/18/2021,7842,184,4,2,20,52,45,7,0,8110,6749,543,454,0,12,6
post266,Institucional,foto,9/18/2021,6035,76,2,0,6,106,91,15,0,6059,5365,522,95,0,4,2
post267,Influencer,carrossel,9/19/2021,8773,173,4,1,22,118,101,17,0,9761,9357,373,17,0,5,0
post268,AA,foto,9/20/2021,6999,124,5,1,8,56,51,5,0,7045,6172,847,0,9,10,2
post269,Foto de lookbook,carrossel,9/21/2021,2240,33,0,1,8,23,20,3,0,2711,2028,620,0,60,3,4
post270,Influencer,foto,9/22/2021,2659,54,8,0,9,13,11,2,0,2871,2200,443,0,158,13,0
post271,Foto de lookbook,carrossel,9/23/2021,7094,168,11,11,18,98,81,17,0,8918,8385,302,0,204,18,0
post272,Foto de lookbook,carrossel,9/24/2021,3860,92,4,0,4,35,31,4,0,4604,4311,225,0,55,12,0
post273,Influencer,carrossel,9/25/2021,6244,129,6,3,3,68,52,16,0,7289,7065,171,0,42,9,4
post274,AA,foto,9/26/2021,9646,258,2,0,11,136,122,14,0,9845,9212,0,469,88,5,0
post275,Institucional,foto,9/27/2021,2234,16,2,0,0,18,12,6,0,2376,1990,350,22,0,1,0
post276,Influencer,reels,9/28/2021,2366,42,5,2,0,0,0,0,0,2388,0,0,0,0,0,0
post277,Foto de lookbook,carrossel,9/29/2021,2113,38,3,0,14,17,15,2,0,2586,2123,423,0,33,7,0
post278,Institucional,video,9/29/2021,4684,80,6,22,10,19,17,2,0,4812,4043,433,0,20,314,2
post279,Foto de lookbook,carrossel,9/30/2021,4837,142,2,2,16,52,46,6,0,6043,5539,393,0,97,9,0
post280,Influencer,carrossel,10/1/2021,3948,109,5,0,4,50,43,7,0,4895,4459,262,95,0,7,0
post281,Foto de lookbook,carrossel,10/2/2021,10263,283,7,4,13,149,124,25,0,12844,12312,142,311,0,7,2
post282,Institucional,foto,10/3/2021,2559,50,0,0,0,6,5,1,0,2724,2630,51,26,0,4,2
post283,AA,video,10/4/2021,696,8,0,0,5,3,2,1,0,1016,290,699,0,4,23,0
post284,Influencer,foto,10/4/2021,6164,139,3,0,4,40,36,4,0,6232,5213,750,183,0,12,0
post285,Institucional,foto,10/5/2021,3284,52,0,0,3,19,18,1,0,3393,2582,780,0,21,5,0
post286,Foto de lookbook,carrossel,10/6/2021,3815,122,9,2,11,51,42,9,0,4733,3726,901,70,0,10,2
post287,Influencer,reels,10/6/2021,5499,147,2,1,21,0,0,0,0,5539,0,0,0,0,0,0
post288,Foto de lookbook,carrossel,10/7/2021,16079,558,9,10,80,208,173,35,0,18735,17395,1055,240,0,24,0
post289,Influencer,carrossel,10/7/2021,3827,71,4,3,17,18,15,3,0,4369,3099,1197,54,0,13,0
post290,Foto de lookbook,carrossel,10/8/2021,5439,159,2,1,12,43,38,5,0,6292,5130,991,0,136,14,0
post291,AA,foto,10/8/2021,3834,62,0,0,4,27,21,6,0,3863,3066,734,0,32,4,0
post292,Foto de lookbook,carrossel,10/9/2021,8558,272,2,4,14,107,93,14,0,10667,9661,790,158,0,18,2
post293,Influencer,foto,10/10/2021,3319,41,0,0,3,26,20,6,0,3429,2446,801,0,141,10,0
post294,Foto de lookbook,carrossel,10/11/2021,13027,441,8,5,34,144,124,20,0,14736,13271,867,503,0,16,4
post295,Influencer,foto,10/12/2021,3900,76,6,1,14,63,58,5,0,4196,3045,987,94,0,30,16
post296,Foto de lookbook,carrossel,10/12/2021,3532,76,0,1,8,44,37,7,0,4215,3139,766,0,227,13,0
post297,Foto de lookbook,carrossel,10/13/2021,5786,167,0,0,12,77,65,12,0,6744,5885,650,106,0,11,0
post298,Institucional,video,10/13/2021,2811,57,11,0,4,15,12,3,0,3024,2430,496,0,68,29,2
post299,Influencer,carrossel,10/14/2021,6096,258,2,4,9,101,85,16,0,6948,5539,0,324,758,18,8
post300,AA,foto,10/15/2021,3770,56,0,0,2,44,35,9,0,3912,3550,177,0,152,4,0
post301,Foto de lookbook,carrossel,10/16/2021,3654,82,0,0,2,25,24,1,0,4458,4063,136,0,222,10,0
post302,Influencer,reels,10/17/2021,6037,118,1,2,8,0,0,0,0,6104,0,0,0,0,0,0
post303,Foto de lookbook,carrossel,10/18/2021,5151,147,2,1,13,55,51,4,0,5977,5030,499,0,342,9,0
post304,AA,foto,10/19/2021,3274,31,8,2,6,16,16,0,0,3416,2868,424,0,79,5,0
post305,Influencer,reels,10/19/2021,1212,41,1,7,0,0,0,0,0,1977,0,0,0,0,0,0
post306,Influencer,foto,10/20/2021,2937,43,5,2,21,26,21,5,0,3087,2255,598,0,166,18,0
post307,Foto de lookbook,carrossel,10/21/2021,2616,50,2,0,4,13,12,1,0,3221,2389,690,0,76,5,0
post308,Foto de lookbook,carrossel,10/21/2021,7374,205,6,2,18,108,94,13,1,8602,7095,572,0,751,14,6
post309,Influencer,carrossel,10/22/2021,4478,99,8,1,4,27,25,2,0,5086,4397,488,0,136,27,2
post310,Influencer,foto,10/23/2021,4505,60,4,0,4,38,34,4,0,4695,3871,393,0,328,17,0
post311,Foto de lookbook,carrossel,10/25/2021,5200,77,0,2,11,43,34,9,0,5815,4720,839,0,246,5,2
post312,Influencer,carrossel,10/26/2021,9612,311,4,3,36,116,103,13,0,10863,9279,818,0,468,14,8
post313,Informação de Moda,carrossel,10/27/2021,18878,612,2,5,32,188,170,18,0,21553,18419,0,1388,1142,10,12
post314,Foto de lookbook,carrossel,10/28/2021,3201,75,0,3,13,28,23,5,0,3842,2939,537,0,332,10,2
post315,reels,reels,10/28/2021,3386,60,1,2,11,0,0,0,0,1789,0,0,0,0,0,0
post316,Institucional,carrossel,10/29/2021,3630,46,0,0,5,26,21,5,0,4266,3783,412,0,60,2,0
post317,Influencer,carrossel,10/29/2021,6608,276,4,6,9,93,79,14,0,7485,6332,401,0,626,15,4
post318,Foto de lookbook,carrossel,10/30/2021,5313,97,5,1,3,46,39,7,0,5936,4827,289,0,741,9,2
post319,Institucional,video,10/31/2021,1977,24,8,0,1,8,7,1,0,2145,1784,226,0,34,100,0
post320,Foto de lookbook,carrossel,11/1/2021,4061,58,14,2,7,76,61,15,0,4713,2816,1702,0,131,16,2
post321,Foto de lookbook,carrossel,11/2/2021,10550,273,3,6,29,140,120,20,0,12435,9770,1804,0,695,20,2
post322,Influencer,reels,11/3/2021,3051,43,2,1,4,0,0,0,0,0,0,0,0,0,0,0
post323,Foto de lookbook,carrossel,11/4/2021,18386,405,25,20,44,442,356,86,0,23609,20061,2485,0,550,34,8
post324,Influencer,foto,11/5/2021,7583,87,4,2,11,41,36,5,0,8606,5508,2782,0,201,18,6
post325,Influencer,carrossel,11/8/2021,8333,247,36,32,76,170,141,29,0,9388,5038,3705,0,441,18,14
post326,Foto de lookbook,carrossel,11/9/2021,5496,64,6,0,5,47,42,5,0,6260,4197,1936,0,66,11,0
post327,Influencer,reels,11/11/2021,4659,89,3,3,16,0,0,0,0,5026,0,0,0,0,0,0
post328,Foto de lookbook,carrossel,11/12/2021,6831,101,4,8,14,61,49,12,0,7680,4478,3031,0,113,22,8
post329,Influencer,carrossel,11/13/2021,7243,148,4,3,17,72,66,6,0,8191,4740,3164,0,155,27,2
post330,Influencer,foto,11/14/2021,21754,593,7,14,34,259,237,22,0,22647,17316,2686,1852,0,50,4
post331,Foto de lookbook,carrossel,11/15/2021,4551,48,2,2,10,34,25,9,0,5164,3057,2012,0,47,15,0
post332,Institucional,carrossel,11/16/2021,5922,77,2,0,2,55,47,8,0,6364,4146,2116,0,80,9,0
post333,Influencer,carrossel,11/17/2021,10683,505,31,9,44,0,0,0,0,12079,6267,5068,0,522,91,0
post334,Foto de lookbook,carrossel,11/17/2021,5884,64,2,2,6,27,26,1,0,6238,2781,3443,7,0,7,0
post335,Influencer,foto,11/18/2021,13938,402,21,16,60,206,197,9,0,14742,9887,3344,1064,0,94,4
post336,Foto de lookbook,carrossel,11/18/2021,5917,77,4,0,4,39,33,6,0,6491,3659,2718,0,66,10,0
post337,Influencer,carrossel,11/19/2021,3893,49,4,1,20,23,19,4,0,4367,2430,1785,0,131,16,2
post338,Influencer,foto,11/20/2021,16940,1519,42,14,42,0,0,0,0,20298,15011,4978,,209,87,0
post339,foto de lookbook,carrossel,11/22/2021,3014,39,0,0,4,36,33,3,0,3478,2794,630,0,25,11,0
post340,foto de lookbook,carrossel,11/23/2021,5540,77,6,4,7,64,48,16,0,6299,4313,1858,0,70,8,4
post341,foto de lookbook,carrossel,11/23/2021,2859,21,2,0,1,23,21,2,0,3395,2546,744,0,77,7,0
post342,Influencer,carrossel,11/23/2021,4150,59,2,3,12,31,28,3,0,4634,2649,1865,77,0,18,1
post343,Foto de lookbook,carrossel,11/24/2021,4460,66,0,3,10,33,30,3,0,5123,3372,1700,28,0,5,0
post344,Foto de lookbook,carrossel,11/25/2021,3934,56,0,0,3,37,31,6,0,5051,4235,748,0,48,6,0
post345,Foto de lookbook,carrossel,11/25/2021,62700,726,16,26,88,2480,1716,0,0,92760,0,0,0,0,0,120
post346,Institucional,foto,11/27/2021,4714,43,0,1,3,182,135,47,0,4971,4148,716,91,0,1,2
post347,Institucional,carrossel,11/28/2021,9308,137,0,1,7,81,72,9,0,9571,9327,205,17,0,10,12
post348,Institucional,foto,11/29/2021,2441,23,0,0,6,43,33,10,0,2607,1722,852,0,24,2,0
post349,Foto de lookbook,carrossel,11/30/2021,13033,249,6,6,19,511,408,103,0,16160,15270,654,0,,,
post350,Influencer,carrossel,12/1/2021,35028,1890,84,30,40,221,198,23,0,41019,35014,4272,1234,0,54,34
post351,Influencer,reels,12/2/2021,6393,277,21,10,20,0,0,0,0,6909,0,0,0,0,0,0
post352,Foto de lookbook,foto,12/3/2021,12037,146,7,10,10,95,76,19,0,12561,9856,2377,210,0,8,2
post353,Influencer,foto,12/4/2021,11912,345,16,16,59,167,151,16,0,13828,11044,2311,0,229,45,6
post354,Foto de lookbook,carrossel,12/5/2021,6724,119,4,3,9,62,57,5,0,7742,5665,1786,0,170,10,4
post355,Foto de lookbook,carrossel,12/6/2021,4744,83,2,1,9,40,34,6,0,5411,3757,1508,0,89,14,2
post356,Foto de lookbook,carrossel,12/7/2021,3630,38,0,5,12,24,19,5,0,4025,1901,2064,0,29,11,0
post357,Influencer,reels,12/8/2021,2891,69,0,2,15,0,0,0,0,3455,0,0,0,0,0,0
post358,Influencer,carrossel,12/8/2021,81695,21041,434,138,336,0,0,0,0,101764,83768,15381,0,1243,1372,0
post359,Foto de lookbook,carrossel,12/9/2021,3702,48,9,3,7,23,20,3,0,4170,2754,1283,0,70,13,4
post360,Influencer,carrossel,12/10/2021,4607,116,8,13,27,57,46,11,0,5276,3829,1212,0,153,0,0
post361,Institucional,foto,12/12/2021,6478,39,4,7,3,39,34,5,0,6542,5212,1092,141,0,7,0
post362,Influencer,foto,12/13/2021,6185,131,10,8,29,74,68,6,0,6311,4934,1076,206,0,17,2
post363,Foto de lookbook,carrossel,12/14/2021,3802,70,0,3,5,45,34,11,0,4728,3810,835,0,68,4,0
post364,Foto de lookbook,carrossel,12/15/2021,7531,150,12,8,21,129,103,26,0,7852,6482,961,249,0,10,4
post365,Influencer,reels,12/15/2021,7993,415,19,9,21,0,0,0,0,8154,0,0,0,0,0,0
post366,Influencer,carrossel,12/16/2021,5581,110,6,6,10,48,47,1,0,6312,5241,832,0,166,9,4
post367,Foto de lookbook,carrossel,12/17/2021,7004,143,2,4,13,72,62,10,0,8215,7182,584,0,385,4,2
post368,Influencer,foto,12/18/2021,3607,54,4,3,2,20,17,2,0,3838,3202,450,144,0,4,0
post369,Informação de Moda,carrossel,12/19/2021,7899,232,6,11,27,63,53,7,2,9710,8826,414,331,0,16,0
post370,Foto de lookbook,carrossel,2021-12-20,18498,512,7,8,48,226,194,32,0,21654,18440,857,1802,0,16,2
post371,Influencer,reels,2021-12-21,12980,520,9,7,26,0,0,0,0,0,0,0,0,0,0,0
post372,Foto de lookbook,carrossel,2021-12-21,2950,52,0,1,7,14,13,1,0,3445,2648,723,0,37,8,0
post373,Influencer,carrossel,2021-12-22,2819,72,8,2,6,20,19,1,0,3151,2261,745,75,0,21,2
post374,Foto de lookbook,carrossel,2021-12-22,2788,46,5,1,10,26,21,5,0,3376,2364,831,0,102,11,2
post375,Influencer,carrossel,2021-12-23,3696,78,8,3,12,35,32,3,0,4366,3325,726,170,0,6,2
post376,AA,foto,2021-12-23,14461,378,6,44,15,51,42,9,0,14582,12727,617,1118,0,42,0
post377,Institucional,video,2021-12-24,2497,21,0,1,5,10,10,0,0,2755,1902,767,0,68,17,0
post378,Influencer,carrossel,2021-12-26,13293,327,3,4,21,132,118,14,0,16405,14046,874,1013,0,10,4
post379,Influencer,foto,2021-12-26,5130,70,0,2,11,38,32,6,0,5181,4149,793,0,132,5,2
post380,Foto de lookbook,carrossel,2021-12-27,3117,50,0,2,5,18,14,4,0,4071,3459,523,0,56,6,0
post381,Influencer,reels,2021-12-28,8625,249,10,10,5,0,0,0,0,0,0,0,0,0,0,0
post382,Foto de lookbook,carrossel,2021-12-29,5532,88,2,2,6,44,40,4,0,6415,5591,599,0,133,4,2
post383,Influencer,carrossel,2021-12-31,4291,78,0,4,7,38,32,6,0,5205,4569,521,0,99,7,0
post384,Institucional,Video/Gif,2022-01-01,2875,15,0,0,0,18,11,5,2,2989,2462,490,0,27,10,2
post385,Foto de lookbook,Video/Gif,2022-01-03,4017,63,6,2,5,27,22,5,0,4161,3640,503,4,0,13,0
post386,Influencer,video,2022-01-03,4425,135,5,6,12,0,0,0,0,0,0,0,0,0,0,0
post387,Foto de lookbook,carrossel,2022-01-04,4859,93,2,3,8,30,23,7,0,5632,4844,624,99,0,8,2
post388,Influencer,foto,2022-01-05,6223,159,6,3,11,63,56,7,0,6267,5192,594,320,0,9,6
post389,Foto de lookbook,carrossel,2022-01-05,3499,77,0,1,8,27,19,8,0,4139,3506,512,79,0,7,0
post390,Influencer,carrossel,2022-01-06,2408,39,0,0,5,17,15,2,0,2769,2258,429,59,0,6,2
post391,Foto de lookbook,video,2022-01-06,3624,42,0,0,3,72,61,11,0,3766,3351,338,0,60,16,0
post392,Influencer,carrossel,2022-01-07,4142,79,0,1,3,28,24,4,0,4169,3646,364,79,0,5,0
post393,Influencer,foto,2022-01-07,9656,193,20,4,18,197,148,49,0,11282,10720,360,143,0,9,0
post394,Foto de lookbook,carrossel,2022-01-09,11589,228,11,6,30,197,151,46,0,12701,11629,0,519,315,4,4
post395,Influencer,video,2022-01-09,3776,108,2,2,2,0,0,0,0,0,0,0,0,0,0,0
post396,Foto de lookbook,carrossel,2022-01-10,3549,55,0,4,1,143,98,45,0,4243,3437,662,84,0,9,0
post397,Influencer,video,2022-01-10,3094,66,2,4,10,0,0,0,0,0,0,0,0,0,0,0
post398,Foto de lookbook,carrossel,2022-01-11,4560,91,6,3,19,64,54,10,0,5400,4375,926,0,80,10,4
post399,Influencer,video,2022-01-12,3255,79,0,1,9,0,0,0,0,0,0,0,0,0,0,0
post400,Foto de lookbook,video,2022-01-12,1910,19,0,2,1,0,0,0,0,0,0,0,0,0,0,0
post401,Influencer,video,2022-01-14,4188,124,4,3,8,0,0,0,0,0,0,0,0,0,0,0
post402,Foto de lookbook,Reels,2022-01-14,1877,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0
post403,Institucional,video,2022-01-15,3150,52,12,22,3,0,0,0,0,0,0,0,0,0,0,0
post404,Foto de lookbook,carrossel,2022-01-16,5014,111,2,2,12,57,46,11,0,5642,4842,573,131,0,8,2
post405,Foto de lookbook,carrossel,2022-01-17,3245,56,0,0,1,12,11,1,0,3783,3076,543,0,81,7,0
post406,Influencer,reels,2022-01-18,5814,245,4,2,11,0,0,0,0,0,0,0,0,0,0,0
post407,Foto de lookbook,carrossel,2022-01-19,2521,41,0,3,4,20,16,4,0,3045,2461,443,0,6,0,
post408,Foto de lookbook,carrossel,2022-01-19,1730,25,0,0,0,12,10,2,0,2182,1774,340,0,51,8,0
post409,Influencer,carrossel,2022-01-20,2093,40,0,4,3,0,0,0,0,0,0,0,0,0,0,0
post410,Influencer,carrossel,2022-01-21,15969,643,25,9,25,283,249,34,0,18152,15607,0,1611,607,13,14
post411,Foto de lookbook,carrossel,2022-01-22,4068,64,2,2,5,27,20,7,0,4798,4376,197,127,0,6,2
post412,Influencer,reels,2022-01-22,3873,98,3,3,2,0,0,0,0,0,0,0,0,0,0,0
post413,Foto de lookbook,carrossel,2022-01-24,5252,93,1,4,8,48,37,11,0,5958,5180,759,3,0,5,0
post414,Influencer,carrossel,2022-01-25,4664,91,4,5,13,39,32,7,0,5517,4753,748,6,0,7,2
post415,Influencer,Reels,2022-01-26,9177,447,27,12,24,0,0,0,0,0,0,0,0,0,0,0
post416,Institucional,vídeo/gif,2022-01-27,3329,53,1,6,7,67,54,13,0,4275,3772,497,1,0,5,0
post417,Foto de lookbook,carrossel,2022-01-28,2946,53,2,0,9,11,10,1,0,3701,3306,387,3,0,5,0
post418,Foto de lookbook,carrossel,2022-01-29,2772,37,2,2,5,10,8,2,0,3425,3023,397,1,0,3,0
post419,Influencer,reels,2022-01-29,4848,233,25,3,5,0,0,0,0,0,0,0,0,0,0,0
post420,Influencer,carrossel,2022-01-31,3783,70,0,6,19,25,22,3,0,4386,3276,1098,2,0,10,2
post421,Influencer,carrossel,2022-01-31,3847,73,4,5,10,24,22,2,0,4367,3332,1021,0,5,9,2
post422,Influencer,carrossel,2022-02-01,5139,134,5,3,14,41,37,4,0,5858,4982,858,0,7,7,0
post423,Influencer,reels,2022-02-01,5427,194,16,5,9,0,0,0,0,0,0,0,0,0,0,0
post424,Influencer,reels,2022-02-01,3309,71,17,2,12,0,0,0,0,0,0,0,0,0,0,0
post425,Influencer,carrossel,2022-02-02,14213,461,15,8,73,229,201,28,0,16726,15839,812,50,0,19,2
post426,Influencer,carrossel,2022-02-03,4340,132,6,5,23,83,66,17,0,5091,4453,614,18,0,6,0
post427,Influencer,reels,2022-02-03,1941,65,0,2,2,0,0,0,0,0,0,0,0,0,0,0
post428,Influencer,carrossel,2022-02-04,4626,103,7,3,3,30,27,3,0,5807,5503,283,5,0,15,0
post429,Influencer,reels,2022-02-05,4937,208,0,5,4,0,0,0,0,0,0,0,0,0,0,0
post430,influencer,foto,2022-02-05,11759,278,4,14,30,203,171,32,0,12590,12169,239,140,0,14,2
post431,Influencer,carrossel,2022-02-06,4173,70,4,11,1,34,31,3,0,4696,4537,143,7,0,5,2